date,n_transactions,avg_block_size_mb,avg_tx_per_block,avg_confirmation_time_min,median_confirmation_time_min,avg_mining_difficulty,avg_hashrate,miners_revenue_usd,avg_transaction_fees_btc,avg_transaction_fees_usd,cost_per_transaction_usd,sent_coins_usd,output_volume_btc,active_addresses,coins_in_circulation,market_price_usd,avg_transaction_value_btc,avg_fee_to_reward_ratio,sopr,mvrv
2015-03-08,87527.0,0.351908474358974,561.070512820513,14.5070963172805,7.95,46684376316.8603,362028.097735547,1263093.90388293,13.21540516,4290.9038829342,12.4502853977086,117770034.270005,2274954.46698583,219897.0,13915700.0,276.66,25.9914594009372,297.3412689325998,0.9897788036069144,0.91749265
2015-03-09,105536.0,0.446213833333333,732.888888888889,14.5070963172805,8.88333333333333,47427554950.6483,311208.023870146,1228704.25963725,15.72043904,4954.25963725,10.1045589160869,82520729.0791923,1127088.02113918,213987.0,13919600.0,275.0,10.679654536264213,425.5318079805288,0.9828883137072484,0.96777239
2015-03-10,105541.0,0.400507157894737,694.348684210526,14.5070963172805,8.08333333333333,47427554950.6483,356003.118215091,1339461.47266863,15.35729233,4864.9726686267,11.4024863384889,87819544.9747574,1129610.6180623,202831.0,13923200.0,287.01,10.703050170666376,383.3287413609351,1.0298501108759537,0.9731036
2015-03-11,100765.0,0.407319136363636,654.318181818182,14.5070963172805,7.2,47427554950.6483,391367.666382153,1368494.2516486,15.32225806,5494.2516486,11.6333935618532,67024014.9907756,889926.805069235,202784.0,13927000.0,290.0,8.831705503589887,404.55286290332106,1.0081977476727202,0.98702529
2015-03-12,97095.0,0.461840526717557,741.18320610687,14.5070963172805,8.91666666666667,47427554950.6483,313565.660414617,1094308.30761627,14.00767054,4450.3076162688,10.4225794580287,64543506.068515,1062851.20747731,191013.0,13930850.0,296.56,10.946508136127608,394.863691515664,1.0230748794984563,0.98143882
2015-03-13,96036.0,0.373348184931507,657.780821917808,14.5070963172805,7.56666666666667,47427554950.6483,327711.479681442,1124821.81863606,13.70402241,4201.818636057,11.2370934638314,59802106.9269077,939969.162107823,196893.0,13934125.0,294.9,9.787675060475475,358.74646797097046,0.9807107082053764,0.95005909
2015-03-14,89511.0,0.394160946564886,683.290076335878,14.5070963172805,8.15,47427554950.6483,315923.296959088,1051243.33341914,12.34936058,3758.0834191419,11.0354009869636,39010099.1556765,803088.69263287,221145.0,13937775.0,285.03,8.971955319825161,319.9923312109976,0.9977080825932932,0.94250473
2015-03-15,84934.0,0.35026772027972,593.944055944056,14.5070963172805,7.53333333333333,47427554950.6483,346572.572037208,1111367.7239335,11.9740388,3732.723933496,11.9749129809229,29694612.5380101,580275.512934137,219686.0,13941050.0,282.2,6.832075646197483,285.26577454081206,0.9983816870103804,0.95476771
2015-03-16,105218.0,0.430460215827338,756.964028776978,14.5070963172805,8.98333333333333,47427554950.6483,308850.387325675,1044154.1050261,15.13383473,4540.3550260992,9.4831717165831,46055269.4924462,942371.183453322,215332.0,13944625.0,286.79,8.956368524903743,457.5254484338442,0.9940003154689836,0.96883474
2015-03-17,99561.0,0.4114915625,777.8203125,14.5070963172805,7.45,47427554950.6483,337142.025859325,1118080.70032732,14.10203756,4352.7003273216,10.4943702455141,48642260.4287176,791384.667979606,189410.0,13948100.0,289.28,7.948741655664427,387.592055887915,1.0018719540640777,0.94842564
2015-03-18,99607.0,0.377621640522876,651.02614379085,14.5070963172805,8.01666666666667,47427554950.6483,332426.752770383,1320674.89785264,15.16419516,4954.8978526432,11.597482330365,82051574.0558836,1527886.93420477,192033.0,13951325.0,284.48,15.33915221023392,373.70477110658345,0.98903105487017,0.85686576
2015-03-19,106297.0,0.457138248175183,775.890510948905,14.5070963172805,8.16666666666667,47427554950.6483,337142.025859325,1038892.10203537,16.48516776,4507.3520353678,9.13400066850744,62846023.6401663,1099027.91564424,191319.0,13955125.0,256.99,10.339218563498877,461.1816745596735,0.9863105095585196,0.87346947
2015-03-20,103532.0,0.408021779411765,761.264705882353,14.5070963172805,7.75,47427554950.6483,332426.752770383,945367.378745339,16.0965401,4363.3787453391,8.80755178826618,44070292.9946009,828924.719824525,196439.0,13958550.0,261.39,8.006459064101195,477.8558456946069,0.9911934763901904,0.87674824
2015-03-21,92836.0,0.34546717218543,614.807947019868,14.5070963172805,8.53333333333333,47427554950.6483,337142.025859325,1202959.83423877,13.25657744,3852.334238769,11.6027337670962,38446326.44005,648767.14884283,209563.0,13962025.0,262.1,6.988314326800271,297.2961284419522,0.9942434075750716,0.87101347
2015-03-22,90586.0,0.390491661971831,637.929577464789,14.5070963172805,7.78333333333333,47427554950.6483,313565.660414617,978614.418954976,13.13911317,3651.9189549762,10.1050598793418,27663184.4712081,494624.094661421,229566.0,13965725.0,259.99,5.4602708438546905,338.0419540606565,0.9909877105841932,0.89689624
2015-03-23,106019.0,0.416135572413793,731.165517241379,14.5070963172805,7.26666666666667,47427554950.6483,358360.754759562,1149817.6092931,17.57202944,5186.3592930975,9.90556013450523,63698966.1552642,895888.586903519,217678.0,13969275.0,267.75,8.450264451688085,478.2085623414217,0.9945390202865404,0.89015559
2015-03-24,92927.0,0.292805329479769,537.150289017341,14.5070963172805,6.85,46717549644.7064,387831.112208752,1247262.44601875,13.68366895,3759.1960187483,12.9731277279311,57899044.9346702,962933.212724507,182247.0,13972900.0,265.99,10.362254379507643,280.0780297276519,0.9852759274168778,0.8245462
2015-03-25,97138.0,0.312553851851852,599.617283950617,14.5070963172805,6.4,46717549644.7064,385508.770219478,1106539.1759772,15.77234281,4039.1759772,10.7975056447263,57231034.1827487,1074177.82554516,186186.0,13977225.0,245.0,11.058265823314873,354.58073658057094,0.9853879101586944,0.82488492
2015-03-26,101181.0,0.368037412162162,683.655405405405,14.5070963172805,7.61666666666667,46717549644.7064,346028.956401821,1128027.22590663,14.52750048,3813.2259066276,10.4859607335034,54567198.3826375,990488.316116969,187578.0,13981275.0,247.08,9.789271860497218,342.03607997882057,0.9894700336912652,0.834809
2015-03-27,99491.0,0.301105421052632,581.818713450292,14.5070963172805,7.0,46717549644.7064,399442.822155122,1268664.29226788,13.97818158,3822.0422678753,11.5428608418589,56590863.3109001,1009654.61350998,196455.0,13984975.0,249.23,10.148200475520198,299.73162292873087,0.9912380143919504,0.82811622
2015-03-28,87374.0,0.341894439189189,590.364864864865,14.5070963172805,7.88333333333333,46717549644.7064,348351.298391095,1005981.65833757,12.58691333,3323.1583375658,10.789742675364,31130323.963791,636684.284619803,200239.0,13989250.0,247.57,7.286884938537814,288.63114369928303,0.995564675384768,0.84785463
2015-03-29,90516.0,0.352724490196078,591.607843137255,14.5070963172805,7.3,46717549644.7064,350673.640380369,1110135.86666338,12.76426269,3435.866663376,11.5265739807849,33536345.7281192,560267.525488706,231523.0,13992950.0,252.96,6.189707073762715,280.1467065800559,0.990620938030502,0.81383575
2015-03-30,106355.0,0.41547102112676,748.978873239437,14.5070963172805,7.95,46717549644.7064,329772.562476903,973393.48077274,15.45788621,4033.4807727396,8.47401783588763,49566748.8382409,864869.115915003,213673.0,13996775.0,242.34,8.131908381505363,440.7065139209364,0.9883013799268836,0.83226724
2015-03-31,115111.0,0.40042098,767.406666666667,14.5070963172805,7.8,46717549644.7064,346028.956401821,1083199.55999248,16.30322108,4399.55999248,8.64733331198493,50604196.9059626,853286.664658476,226307.0,14000325.0,248.0,7.412729145420299,467.5387333963477,0.9922453425971814,0.82051756
2015-04-01,119343.0,0.46936971969697,904.113636363636,14.5070963172805,8.18333333333333,46717549644.7064,329772.562476903,942541.77656054,16.83868407,4566.2765605398,7.06039668727043,54562601.3659894,1081312.20885449,223233.0,14004075.0,243.63,9.060541538711863,578.1739941046513,0.9619300410260416,0.83080879
