date,sp500_close,sp500_volume,dowjones_close,dowjones_volume,oil_close,oil_volume,eth_close,eth_volume_usd,eth_price_is_backfilled
2015-03-08,2079.429931640625,3349090000.0,17995.720703125,85820000.0,50.0,409877.0,3.0,0.0,True
2015-03-09,2079.429931640625,3349090000.0,17995.720703125,85820000.0,50.0,409877.0,3.0,0.0,True
2015-03-10,2044.1600341796875,3668900000.0,17662.939453125,120450000.0,48.290000915527344,395761.0,3.0,0.0,True
2015-03-11,2040.239990234375,3406570000.0,17635.390625,102120000.0,48.16999816894531,404590.0,3.0,0.0,True
2015-03-12,2065.949951171875,3405860000.0,17895.220703125,111550000.0,47.04999923706055,358381.0,3.0,0.0,True
2015-03-13,2053.39990234375,3498560000.0,17749.310546875,113620000.0,44.84000015258789,395722.0,3.0,0.0,True
2015-03-14,2053.39990234375,3498560000.0,17749.310546875,113620000.0,44.84000015258789,395722.0,3.0,0.0,True
2015-03-15,2053.39990234375,3498560000.0,17749.310546875,113620000.0,44.84000015258789,395722.0,3.0,0.0,True
2015-03-16,2081.18994140625,3295600000.0,17977.419921875,101760000.0,43.880001068115234,367600.0,3.0,0.0,True
2015-03-17,2074.280029296875,3221840000.0,17849.080078125,82560000.0,43.459999084472656,346310.0,3.0,0.0,True
2015-03-18,2099.5,4128210000.0,18076.189453125,130950000.0,44.65999984741211,220638.0,3.0,0.0,True
2015-03-19,2089.27001953125,3305220000.0,17959.029296875,107820000.0,43.959999084472656,106907.0,3.0,0.0,True
2015-03-20,2108.10009765625,5554120000.0,18127.650390625,333870000.0,45.720001220703125,379180.0,3.0,0.0,True
2015-03-21,2108.10009765625,5554120000.0,18127.650390625,333870000.0,45.720001220703125,379180.0,3.0,0.0,True
2015-03-22,2108.10009765625,5554120000.0,18127.650390625,333870000.0,45.720001220703125,379180.0,3.0,0.0,True
2015-03-23,2104.419921875,3267960000.0,18116.0390625,98030000.0,47.45000076293945,292417.0,3.0,0.0,True
2015-03-24,2091.5,3189820000.0,18011.140625,87190000.0,47.5099983215332,309553.0,3.0,0.0,True
2015-03-25,2061.050048828125,3521140000.0,17718.5390625,106560000.0,49.209999084472656,398795.0,3.0,0.0,True
2015-03-26,2056.14990234375,3510670000.0,17678.23046875,117740000.0,51.43000030517578,515277.0,3.0,0.0,True
2015-03-27,2061.02001953125,3008550000.0,17712.66015625,103220000.0,48.869998931884766,384092.0,3.0,0.0,True
2015-03-28,2061.02001953125,3008550000.0,17712.66015625,103220000.0,48.869998931884766,384092.0,3.0,0.0,True
2015-03-29,2061.02001953125,3008550000.0,17712.66015625,103220000.0,48.869998931884766,384092.0,3.0,0.0,True
2015-03-30,2086.239990234375,2917690000.0,17976.310546875,104040000.0,48.68000030517578,355866.0,3.0,0.0,True
2015-03-31,2067.889892578125,3376550000.0,17776.119140625,119470000.0,47.599998474121094,365748.0,3.0,0.0,True
2015-04-01,2059.68994140625,3543270000.0,17698.1796875,103360000.0,50.09000015258789,451104.0,3.0,0.0,True
2015-04-02,2066.9599609375,3095960000.0,17763.240234375,87370000.0,49.13999938964844,453394.0,3.0,0.0,True
2015-04-03,2066.9599609375,3095960000.0,17763.240234375,87370000.0,49.13999938964844,453394.0,3.0,0.0,True
2015-04-04,2066.9599609375,3095960000.0,17763.240234375,87370000.0,49.13999938964844,453394.0,3.0,0.0,True
2015-04-05,2066.9599609375,3095960000.0,17763.240234375,87370000.0,49.13999938964844,453394.0,3.0,0.0,True
2015-04-06,2080.6201171875,3302970000.0,17880.849609375,100850000.0,52.13999938964844,325282.0,3.0,0.0,True
2015-04-07,2076.330078125,3065510000.0,17875.419921875,72150000.0,53.97999954223633,548870.0,3.0,0.0,True
2015-04-08,2081.89990234375,3265330000.0,17902.509765625,76820000.0,50.41999816894531,552627.0,3.0,0.0,True
2015-04-09,2091.179931640625,3172360000.0,17958.73046875,86740000.0,50.790000915527344,449531.0,3.0,0.0,True
2015-04-10,2102.06005859375,3156200000.0,18057.650390625,116410000.0,51.63999938964844,395135.0,3.0,0.0,True
2015-04-11,2102.06005859375,3156200000.0,18057.650390625,116410000.0,51.63999938964844,395135.0,3.0,0.0,True
2015-04-12,2102.06005859375,3156200000.0,18057.650390625,116410000.0,51.63999938964844,395135.0,3.0,0.0,True
2015-04-13,2092.429931640625,2908420000.0,17977.0390625,120090000.0,51.90999984741211,375534.0,3.0,0.0,True
2015-04-14,2095.840087890625,3301270000.0,18036.69921875,82830000.0,53.290000915527344,431026.0,3.0,0.0,True
2015-04-15,2106.6298828125,4013760000.0,18112.609375,113610000.0,56.38999938964844,508904.0,3.0,0.0,True
2015-04-16,2104.989990234375,3434120000.0,18105.76953125,89520000.0,56.709999084472656,413134.0,3.0,0.0,True
2015-04-17,2081.179931640625,3627600000.0,17826.30078125,138860000.0,55.7400016784668,230623.0,3.0,0.0,True
2015-04-18,2081.179931640625,3627600000.0,17826.30078125,138860000.0,55.7400016784668,230623.0,3.0,0.0,True
2015-04-19,2081.179931640625,3627600000.0,17826.30078125,138860000.0,55.7400016784668,230623.0,3.0,0.0,True
2015-04-20,2100.39990234375,3000160000.0,18034.9296875,103160000.0,56.380001068115234,112382.0,3.0,0.0,True
2015-04-21,2097.2900390625,3243410000.0,17949.58984375,95180000.0,55.2599983215332,354244.0,3.0,0.0,True
2015-04-22,2107.9599609375,3348480000.0,18038.26953125,91260000.0,56.15999984741211,329631.0,3.0,0.0,True
2015-04-23,2112.929931640625,3636670000.0,18058.689453125,100240000.0,57.7400016784668,415569.0,3.0,0.0,True
2015-04-24,2117.68994140625,3375780000.0,18080.140625,119130000.0,57.150001525878906,328322.0,3.0,0.0,True
2015-04-25,2117.68994140625,3375780000.0,18080.140625,119130000.0,57.150001525878906,328322.0,3.0,0.0,True
2015-04-26,2117.68994140625,3375780000.0,18080.140625,119130000.0,57.150001525878906,328322.0,3.0,0.0,True
2015-04-27,2108.919921875,3438750000.0,18037.970703125,121110000.0,56.9900016784668,250558.0,3.0,0.0,True
2015-04-28,2114.760009765625,3546270000.0,18110.140625,124930000.0,57.060001373291016,281864.0,3.0,0.0,True
2015-04-29,2106.85009765625,4074970000.0,18035.529296875,102080000.0,58.58000183105469,411097.0,3.0,0.0,True
2015-04-30,2085.510009765625,4509680000.0,17840.51953125,129180000.0,59.630001068115234,340322.0,3.0,0.0,True
2015-05-01,2108.2900390625,3379390000.0,18024.060546875,91700000.0,59.150001525878906,244753.0,3.0,0.0,True
2015-05-02,2108.2900390625,3379390000.0,18024.060546875,91700000.0,59.150001525878906,244753.0,3.0,0.0,True
2015-05-03,2108.2900390625,3379390000.0,18024.060546875,91700000.0,59.150001525878906,244753.0,3.0,0.0,True
2015-05-04,2114.489990234375,3091580000.0,18070.400390625,86010000.0,58.93000030517578,215046.0,3.0,0.0,True
2015-05-05,2089.4599609375,3793950000.0,17928.19921875,95340000.0,60.400001525878906,389743.0,3.0,0.0,True
2015-05-06,2080.14990234375,3792210000.0,17841.98046875,100430000.0,60.93000030517578,423583.0,3.0,0.0,True
2015-05-07,2088.0,3676640000.0,17924.060546875,80920000.0,58.939998626708984,437022.0,3.0,0.0,True
2015-05-08,2116.10009765625,3399440000.0,18191.109375,94960000.0,59.38999938964844,434575.0,3.0,0.0,True
2015-05-09,2116.10009765625,3399440000.0,18191.109375,94960000.0,59.38999938964844,434575.0,3.0,0.0,True
2015-05-10,2116.10009765625,3399440000.0,18191.109375,94960000.0,59.38999938964844,434575.0,3.0,0.0,True
2015-05-11,2105.330078125,2992670000.0,18105.169921875,86050000.0,59.25,332694.0,3.0,0.0,True
2015-05-12,2099.1201171875,3139520000.0,18068.23046875,89270000.0,60.75,397345.0,3.0,0.0,True
2015-05-13,2098.47998046875,3374260000.0,18060.490234375,85180000.0,60.5,426835.0,3.0,0.0,True
2015-05-14,2121.10009765625,3225740000.0,18252.240234375,91580000.0,59.880001068115234,361432.0,3.0,0.0,True
2015-05-15,2122.72998046875,3092080000.0,18272.560546875,108220000.0,59.689998626708984,222089.0,3.0,0.0,True
2015-05-16,2122.72998046875,3092080000.0,18272.560546875,108220000.0,59.689998626708984,222089.0,3.0,0.0,True
2015-05-17,2122.72998046875,3092080000.0,18272.560546875,108220000.0,59.689998626708984,222089.0,3.0,0.0,True
2015-05-18,2129.199951171875,2888190000.0,18298.880859375,79080000.0,59.43000030517578,144389.0,3.0,0.0,True
2015-05-19,2127.830078125,3296030000.0,18312.390625,87200000.0,57.2599983215332,336779.0,3.0,0.0,True
2015-05-20,2125.85009765625,3025880000.0,18285.400390625,80190000.0,58.97999954223633,287129.0,3.0,0.0,True
2015-05-21,2130.820068359375,3070460000.0,18285.740234375,84270000.0,60.720001220703125,329765.0,3.0,0.0,True
2015-05-22,2126.06005859375,2571860000.0,18232.01953125,78890000.0,59.720001220703125,230307.0,3.0,0.0,True
2015-05-23,2126.06005859375,2571860000.0,18232.01953125,78890000.0,59.720001220703125,230307.0,3.0,0.0,True
2015-05-24,2126.06005859375,2571860000.0,18232.01953125,78890000.0,59.720001220703125,230307.0,3.0,0.0,True
2015-05-25,2126.06005859375,2571860000.0,18232.01953125,78890000.0,59.720001220703125,230307.0,3.0,0.0,True
2015-05-26,2104.199951171875,3342130000.0,18041.5390625,109440000.0,58.029998779296875,330128.0,3.0,0.0,True
2015-05-27,2123.47998046875,3127960000.0,18162.990234375,96400000.0,57.5099983215332,314917.0,3.0,0.0,True
2015-05-28,2120.7900390625,2980350000.0,18126.119140625,67510000.0,57.68000030517578,340682.0,3.0,0.0,True
2015-05-29,2107.389892578125,3927390000.0,18010.6796875,139810000.0,60.29999923706055,452222.0,3.0,0.0,True
2015-05-30,2107.389892578125,3927390000.0,18010.6796875,139810000.0,60.29999923706055,452222.0,3.0,0.0,True
2015-05-31,2107.389892578125,3927390000.0,18010.6796875,139810000.0,60.29999923706055,452222.0,3.0,0.0,True
2015-06-01,2111.72998046875,3011710000.0,18040.369140625,85640000.0,60.20000076293945,292189.0,3.0,0.0,True
2015-06-02,2109.60009765625,3049350000.0,18011.939453125,77550000.0,61.2599983215332,344508.0,3.0,0.0,True
2015-06-03,2114.070068359375,3099980000.0,18076.26953125,73120000.0,59.63999938964844,371298.0,3.0,0.0,True
2015-06-04,2095.840087890625,3200050000.0,17905.580078125,93470000.0,58.0,363345.0,3.0,0.0,True
2015-06-05,2092.830078125,3243690000.0,17849.4609375,89140000.0,59.130001068115234,461016.0,3.0,0.0,True
2015-06-06,2092.830078125,3243690000.0,17849.4609375,89140000.0,59.130001068115234,461016.0,3.0,0.0,True
2015-06-07,2092.830078125,3243690000.0,17849.4609375,89140000.0,59.130001068115234,461016.0,3.0,0.0,True
2015-06-08,2079.280029296875,2917150000.0,17766.55078125,86300000.0,58.13999938964844,339845.0,3.0,0.0,True
2015-06-09,2080.14990234375,3034580000.0,17764.0390625,90550000.0,60.13999938964844,405486.0,3.0,0.0,True
2015-06-10,2105.199951171875,3414320000.0,18000.400390625,96980000.0,61.43000030517578,459765.0,3.0,0.0,True
2015-06-11,2108.860107421875,3128600000.0,18039.369140625,89490000.0,60.77000045776367,352421.0,3.0,0.0,True
2015-06-12,2094.110107421875,2719400000.0,17898.83984375,83760000.0,59.959999084472656,246898.0,3.0,0.0,True
2015-06-13,2094.110107421875,2719400000.0,17898.83984375,83760000.0,59.959999084472656,246898.0,3.0,0.0,True
2015-06-14,2094.110107421875,2719400000.0,17898.83984375,83760000.0,59.959999084472656,246898.0,3.0,0.0,True
2015-06-15,2084.429931640625,3061570000.0,17791.169921875,91920000.0,59.52000045776367,275187.0,3.0,0.0,True
2015-06-16,2096.2900390625,2919900000.0,17904.48046875,77510000.0,59.970001220703125,233935.0,3.0,0.0,True
2015-06-17,2100.43994140625,3222240000.0,17935.740234375,92410000.0,59.91999816894531,396155.0,3.0,0.0,True
2015-06-18,2121.239990234375,3520360000.0,18115.83984375,94460000.0,60.45000076293945,181875.0,3.0,0.0,True
2015-06-19,2109.989990234375,4449810000.0,18015.94921875,258300000.0,59.61000061035156,116656.0,3.0,0.0,True
2015-06-20,2109.989990234375,4449810000.0,18015.94921875,258300000.0,59.61000061035156,116656.0,3.0,0.0,True
2015-06-21,2109.989990234375,4449810000.0,18015.94921875,258300000.0,59.61000061035156,116656.0,3.0,0.0,True
2015-06-22,2122.85009765625,3030020000.0,18119.779296875,77780000.0,59.68000030517578,255306.0,3.0,0.0,True
2015-06-23,2124.199951171875,3091190000.0,18144.0703125,75970000.0,61.0099983215332,336224.0,3.0,0.0,True
2015-06-24,2108.580078125,3102480000.0,17966.0703125,104980000.0,60.27000045776367,312985.0,3.0,0.0,True
2015-06-25,2102.31005859375,3214610000.0,17890.359375,78990000.0,59.70000076293945,222341.0,3.0,0.0,True
2015-06-26,2101.489990234375,5025470000.0,17946.6796875,158120000.0,59.630001068115234,231957.0,3.0,0.0,True
2015-06-27,2101.489990234375,5025470000.0,17946.6796875,158120000.0,59.630001068115234,231957.0,3.0,0.0,True
2015-06-28,2101.489990234375,5025470000.0,17946.6796875,158120000.0,59.630001068115234,231957.0,3.0,0.0,True
2015-06-29,2057.639892578125,3678960000.0,17596.349609375,116340000.0,58.33000183105469,286035.0,3.0,0.0,True
2015-06-30,2063.110107421875,4078540000.0,17619.509765625,126460000.0,59.470001220703125,282475.0,3.0,0.0,True
2015-07-01,2077.419921875,3727260000.0,17757.91015625,87010000.0,56.959999084472656,373405.0,3.0,0.0,True
2015-07-02,2076.780029296875,2996540000.0,17730.109375,83080000.0,56.93000030517578,297050.0,3.0,0.0,True
2015-07-03,2076.780029296875,2996540000.0,17730.109375,83080000.0,56.93000030517578,297050.0,3.0,0.0,True
2015-07-04,2076.780029296875,2996540000.0,17730.109375,83080000.0,56.93000030517578,297050.0,3.0,0.0,True
2015-07-05,2076.780029296875,2996540000.0,17730.109375,83080000.0,56.93000030517578,297050.0,3.0,0.0,True
2015-07-06,2068.760009765625,3486360000.0,17683.580078125,90130000.0,52.529998779296875,540608.0,3.0,0.0,True
2015-07-07,2081.340087890625,4458660000.0,17776.91015625,105840000.0,52.33000183105469,527267.0,3.0,0.0,True
2015-07-08,2046.6800537109375,3608780000.0,17515.419921875,69830000.0,51.650001525878906,434752.0,3.0,0.0,True
2015-07-09,2051.31005859375,3446810000.0,17548.619140625,100520000.0,52.779998779296875,382334.0,3.0,0.0,True
2015-07-10,2076.6201171875,3065070000.0,17760.41015625,85800000.0,52.7400016784668,349075.0,3.0,0.0,True
2015-07-11,2076.6201171875,3065070000.0,17760.41015625,85800000.0,52.7400016784668,349075.0,3.0,0.0,True
2015-07-12,2076.6201171875,3065070000.0,17760.41015625,85800000.0,52.7400016784668,349075.0,3.0,0.0,True
2015-07-13,2099.60009765625,3096730000.0,17977.6796875,86380000.0,52.20000076293945,359477.0,3.0,0.0,True
2015-07-14,2108.949951171875,3002120000.0,18053.580078125,76740000.0,53.040000915527344,422756.0,3.0,0.0,True
2015-07-15,2107.39990234375,3261810000.0,18050.169921875,80460000.0,51.40999984741211,334563.0,3.0,0.0,True
2015-07-16,2124.2900390625,3227080000.0,18120.25,85030000.0,50.90999984741211,319167.0,3.0,0.0,True
2015-07-17,2126.639892578125,3362750000.0,18086.44921875,106510000.0,50.88999938964844,203485.0,3.0,0.0,True
2015-07-18,2126.639892578125,3362750000.0,18086.44921875,106510000.0,50.88999938964844,203485.0,3.0,0.0,True
2015-07-19,2126.639892578125,3362750000.0,18086.44921875,106510000.0,50.88999938964844,203485.0,3.0,0.0,True
2015-07-20,2128.280029296875,3245870000.0,18100.41015625,75060000.0,50.150001525878906,102597.0,3.0,0.0,True
2015-07-21,2119.2099609375,3343690000.0,17919.2890625,100170000.0,50.36000061035156,254321.0,3.0,0.0,True
2015-07-22,2114.14990234375,3694070000.0,17851.0390625,112370000.0,49.189998626708984,347986.0,3.0,0.0,True
2015-07-23,2102.14990234375,3772810000.0,17731.919921875,88600000.0,48.45000076293945,316060.0,3.0,0.0,True
2015-07-24,2079.64990234375,3870040000.0,17568.529296875,103470000.0,48.13999938964844,278233.0,3.0,0.0,True
2015-07-25,2079.64990234375,3870040000.0,17568.529296875,103470000.0,48.13999938964844,278233.0,3.0,0.0,True
2015-07-26,2079.64990234375,3870040000.0,17568.529296875,103470000.0,48.13999938964844,278233.0,3.0,0.0,True
2015-07-27,2067.639892578125,3836750000.0,17440.58984375,117860000.0,47.38999938964844,273614.0,3.0,0.0,True
2015-07-28,2093.25,4117740000.0,17630.26953125,103450000.0,47.97999954223633,338107.0,3.0,0.0,True
2015-07-29,2108.570068359375,4038900000.0,17751.390625,93140000.0,48.790000915527344,366893.0,3.0,0.0,True
2015-07-30,2108.6298828125,3579410000.0,17745.98046875,76650000.0,48.52000045776367,247662.0,3.0,0.0,True
2015-07-31,2103.840087890625,3681340000.0,17689.859375,106120000.0,47.119998931884766,334474.0,3.0,0.0,True
2015-08-01,2103.840087890625,3681340000.0,17689.859375,106120000.0,47.119998931884766,334474.0,3.0,0.0,True
2015-08-02,2103.840087890625,3681340000.0,17689.859375,106120000.0,47.119998931884766,334474.0,3.0,0.0,True
2015-08-03,2098.0400390625,3476770000.0,17598.19921875,87880000.0,45.16999816894531,371085.0,3.0,0.0,True
2015-08-04,2093.320068359375,3546710000.0,17550.689453125,99060000.0,45.7400016784668,285786.0,3.0,0.0,True
2015-08-05,2099.840087890625,3968680000.0,17540.470703125,102450000.0,45.150001525878906,367326.0,3.0,0.0,True
2015-08-06,2083.56005859375,4246570000.0,17419.75,96170000.0,44.65999984741211,360977.0,3.0,0.0,True
2015-08-07,2077.570068359375,3602320000.0,17373.380859375,81800000.0,43.869998931884766,400070.0,3.0,0.0,False
2015-08-08,2077.570068359375,3602320000.0,17373.380859375,81800000.0,43.869998931884766,400070.0,1.19999,0.0,False
2015-08-09,2077.570068359375,3602320000.0,17373.380859375,81800000.0,43.869998931884766,400070.0,1.19999,0.0,False
2015-08-10,2104.179931640625,3514460000.0,17615.169921875,92430000.0,44.959999084472656,491433.0,1.19999,0.0,False
2015-08-11,2084.070068359375,3708880000.0,17402.83984375,103010000.0,43.08000183105469,538005.0,0.99,0.0,False
2015-08-12,2086.050048828125,4269130000.0,17402.509765625,120400000.0,43.29999923706055,492271.0,1.288,0.0,False
2015-08-13,2083.389892578125,3221300000.0,17408.25,88550000.0,42.22999954223633,420146.0,1.8848,0.0,False
2015-08-14,2091.5400390625,2795590000.0,17477.400390625,82120000.0,42.5,317211.0,1.79489,0.0,False
2015-08-15,2091.5400390625,2795590000.0,17477.400390625,82120000.0,42.5,317211.0,1.79,0.0,False
2015-08-16,2091.5400390625,2795590000.0,17477.400390625,82120000.0,42.5,317211.0,1.5893,0.0,False
2015-08-17,2102.43994140625,2867690000.0,17545.1796875,73380000.0,41.869998931884766,314275.0,1.29638,0.0,False
2015-08-18,2096.919921875,2949990000.0,17511.33984375,79900000.0,42.619998931884766,200185.0,1.10001,0.0,False
2015-08-19,2079.610107421875,3512920000.0,17348.73046875,104720000.0,40.79999923706055,107578.0,1.24,0.0,False
2015-08-20,2035.72998046875,3922470000.0,16990.689453125,128530000.0,41.13999938964844,380433.0,1.5218,0.0,False
2015-08-21,1970.8900146484375,5018240000.0,16459.75,225170000.0,40.45000076293945,377181.0,1.43588,0.0,False
2015-08-22,1970.8900146484375,5018240000.0,16459.75,225170000.0,40.45000076293945,377181.0,1.4,0.0,False
2015-08-23,1970.8900146484375,5018240000.0,16459.75,225170000.0,40.45000076293945,377181.0,1.35,0.0,False
2015-08-24,1893.2099609375,6612690000.0,15871.349609375,293920000.0,38.2400016784668,468366.0,1.23804,0.0,False
2015-08-25,1867.6099853515625,5183560000.0,15666.4404296875,213220000.0,39.310001373291016,375650.0,1.27119,0.0,False
2015-08-26,1940.510009765625,5338250000.0,16285.509765625,208420000.0,38.599998474121094,368722.0,1.18,0.0,False
2015-08-27,1987.6600341796875,5006390000.0,16654.76953125,171980000.0,42.560001373291016,533682.0,1.13646,0.0,False
2015-08-28,1988.8699951171875,3949080000.0,16643.009765625,131790000.0,45.220001220703125,666328.0,1.295,0.0,False
2015-08-29,1988.8699951171875,3949080000.0,16643.009765625,131790000.0,45.220001220703125,666328.0,1.1795,0.0,False
2015-08-30,1988.8699951171875,3949080000.0,16643.009765625,131790000.0,45.220001220703125,666328.0,1.32,0.0,False
2015-08-31,1972.1800537109375,3915100000.0,16528.029296875,141440000.0,49.20000076293945,757503.0,1.30651,0.0,False
2015-09-01,1913.8499755859375,4371850000.0,16058.349609375,171390000.0,45.40999984741211,713418.0,1.36,0.0,False
2015-09-02,1948.8599853515625,3742620000.0,16351.3798828125,133480000.0,46.25,689301.0,1.32795,0.0,False
2015-09-03,1951.1300048828125,3520700000.0,16374.759765625,109730000.0,46.75,539450.0,1.23357,0.0,False
2015-09-04,1921.219970703125,3167090000.0,16102.3798828125,127270000.0,46.04999923706055,385631.0,1.23357,0.0,False
2015-09-05,1921.219970703125,3167090000.0,16102.3798828125,127270000.0,46.04999923706055,385631.0,1.37,0.0,False
2015-09-06,1921.219970703125,3167090000.0,16102.3798828125,127270000.0,46.04999923706055,385631.0,1.34,0.0,False
2015-09-07,1921.219970703125,3167090000.0,16102.3798828125,127270000.0,46.04999923706055,385631.0,1.27561,0.0,False
2015-09-08,1969.4100341796875,3548650000.0,16492.6796875,123870000.0,45.939998626708984,508815.0,1.26349,0.0,False
2015-09-09,1942.0400390625,3652120000.0,16253.5703125,118790000.0,44.150001525878906,422735.0,1.21,0.0,False
2015-09-10,1952.2900390625,3626320000.0,16330.400390625,122690000.0,45.91999816894531,498992.0,1.1857,0.0,False
2015-09-11,1961.050048828125,3218590000.0,16433.08984375,104630000.0,44.630001068115234,395838.0,0.92422,0.0,False
2015-09-12,1961.050048828125,3218590000.0,16433.08984375,104630000.0,44.630001068115234,395838.0,1.14639,0.0,False
2015-09-13,1961.050048828125,3218590000.0,16433.08984375,104630000.0,44.630001068115234,395838.0,0.88557,0.0,False
2015-09-14,1953.030029296875,3000200000.0,16370.9599609375,92660000.0,44.0,326269.0,0.955,0.0,False
2015-09-15,1978.0899658203125,3239860000.0,16599.849609375,93050000.0,44.59000015258789,335953.0,0.95,0.0,False
2015-09-16,1995.31005859375,3630680000.0,16739.94921875,99620000.0,47.150001525878906,421981.0,0.93634,0.0,False
2015-09-17,1990.199951171875,4183790000.0,16674.740234375,129600000.0,46.900001525878906,366390.0,0.875,0.0,False
2015-09-18,1958.030029296875,6021240000.0,16384.580078125,341690000.0,44.68000030517578,211301.0,0.85226,0.0,False
2015-09-19,1958.030029296875,6021240000.0,16384.580078125,341690000.0,44.68000030517578,211301.0,0.89,0.0,False
2015-09-20,1958.030029296875,6021240000.0,16384.580078125,341690000.0,44.68000030517578,211301.0,0.94116,0.0,False
2015-09-21,1966.969970703125,3269350000.0,16510.189453125,90730000.0,46.68000030517578,104528.0,0.94116,0.0,False
2015-09-22,1942.739990234375,3808260000.0,16330.4697265625,119010000.0,45.83000183105469,345875.0,0.80588,0.0,False
2015-09-23,1938.760009765625,3190530000.0,16279.8896484375,86030000.0,44.47999954223633,411957.0,0.91,0.0,False
2015-09-24,1932.239990234375,4091530000.0,16201.3203125,122220000.0,44.90999984741211,371976.0,0.8,0.0,False
2015-09-25,1931.3399658203125,3721870000.0,16314.669921875,130790000.0,45.70000076293945,338622.0,0.68233,0.0,False
2015-09-26,1931.3399658203125,3721870000.0,16314.669921875,130790000.0,45.70000076293945,338622.0,0.77032,0.0,False
2015-09-27,1931.3399658203125,3721870000.0,16314.669921875,130790000.0,45.70000076293945,338622.0,0.70077,0.0,False
2015-09-28,1881.77001953125,4326660000.0,16001.8896484375,139930000.0,44.43000030517578,273906.0,0.6,0.0,False
2015-09-29,1884.0899658203125,4132390000.0,16049.1298828125,121160000.0,45.22999954223633,265176.0,0.68163,0.0,False
2015-09-30,1920.030029296875,4525070000.0,16284.7001953125,145740000.0,45.09000015258789,355853.0,0.71365,0.0,False
