date,dxy,gold_price,m2_money_supply,usdt_dominance
2015-03-08,107.4337,1164.0999755859375,11919.1,0.0064662065357882
2015-03-09,107.5199,1166.4000244140625,11919.1,0.0061938335809487
2015-03-10,108.1165,1160.0999755859375,11919.1,0.0061406056509276
2015-03-11,108.5235,1150.699951171875,11919.1,0.0060069285606304
2015-03-12,108.1741,1152.0999755859375,11919.1,0.0060308303797847
2015-03-13,108.9174,1152.5999755859375,11919.1,0.0062893750109625
2015-03-14,108.9174,1152.5999755859375,11919.1,0.0063146297125675
2015-03-15,108.9174,1152.5999755859375,11919.1,0.0061985453690115
2015-03-16,108.6422,1153.300048828125,11919.1,0.0061451587122421
2015-03-17,108.5805,1148.300048828125,11919.1,0.0062838062323931
2015-03-18,108.408,1151.4000244140625,11919.1,0.0069250999613221
2015-03-19,108.1826,1169.0999755859375,11919.1,0.0067810266292114
2015-03-20,107.1671,1184.800048828125,11919.1,0.0067746897340857
2015-03-21,107.1671,1184.800048828125,11919.1,0.0068178463383336
2015-03-22,107.1671,1184.800048828125,11919.1,0.0066110375826508
2015-03-23,106.5022,1188.0,11919.1,0.0066525814101041
2015-03-24,106.4401,1191.699951171875,11919.1,0.007217545052776
2015-03-25,106.2636,1197.300048828125,11919.1,0.0071568135142417
2015-03-26,106.5582,1205.0999755859375,11919.1,0.0070965807330052
2015-03-27,106.8916,1199.800048828125,11919.1,0.007128636125856
2015-03-28,106.8916,1199.800048828125,11919.1,0.006993210235884
2015-03-29,106.8916,1199.800048828125,11919.1,0.0072940936708939
2015-03-30,107.3941,1184.800048828125,11919.1,0.0071241654627671
2015-03-31,107.4396,1183.0999755859375,11919.1,0.0072352710629767
2015-04-01,107.06,1208.0999755859375,11953.4,0.0071629926117341
2015-04-02,106.6738,1200.9000244140625,11953.4,0.006973635305187
2015-04-03,105.8861,1200.9000244140625,11953.4,0.0069512702892572
2015-04-04,105.8861,1200.9000244140625,11953.4,0.0069679680981077
2015-04-05,105.8861,1200.9000244140625,11953.4,0.0067756334095753
2015-04-06,105.7876,1218.5999755859375,11953.4,0.0069097312426257
2015-04-07,106.4488,1210.5999755859375,11953.4,0.0069576148391345
2015-04-08,106.4231,1203.0999755859375,11953.4,0.0072097759515941
2015-04-09,107.0335,1193.5999755859375,11953.4,0.0072576547960043
2015-04-10,107.4526,1204.5999755859375,11953.4,0.0074872203903344
2015-04-11,107.4526,1204.5999755859375,11953.4,0.0074844727087677
2015-04-12,107.4526,1204.5999755859375,11953.4,0.0074618666983185
2015-04-13,107.7508,1199.300048828125,11953.4,0.0079053253365962
2015-04-14,107.0547,1192.800048828125,11953.4,0.0081759352432261
2015-04-15,107.1855,1201.5,11953.4,0.0079187010830997
2015-04-16,106.2761,1198.0,11953.4,0.0077570236463177
2015-04-17,106.329,1202.9000244140625,11953.4,0.0079293588815892
2015-04-18,106.329,1202.9000244140625,11953.4,0.0078985324255786
2015-04-19,106.329,1202.9000244140625,11953.4,0.0079178594878238
2015-04-20,106.4902,1193.5,11953.4,0.0078561544072036
2015-04-21,106.5582,1202.9000244140625,11953.4,0.0074746663945074
2015-04-22,106.5815,1186.9000244140625,11953.4,0.0075461046669892
2015-04-23,106.1658,1194.4000244140625,11953.4,0.0074606612054653
2015-04-24,105.905,1175.199951171875,11953.4,0.0076530094419151
2015-04-25,105.905,1175.199951171875,11953.4,0.0077912122670224
2015-04-26,105.905,1175.199951171875,11953.4,0.0080101417670077
2015-04-27,105.6891,1203.300048828125,11953.4,0.0077430177679377
2015-04-28,105.1234,1214.0,11953.4,0.0078176018326231
2015-04-29,104.5634,1209.800048828125,11953.4,0.0078082975971262
2015-04-30,105.312,1182.4000244140625,11953.4,0.0074572809931682
2015-05-01,105.6382,1174.5,11981.9,0.0076287305020079
2015-05-02,105.6382,1174.5,11981.9,0.0075356922635702
2015-05-03,105.6382,1174.5,11981.9,0.0073636191303779
