Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2015-01-01,314.025456318,881721.58286231,5161.24448851476,-3245.2847694639004,2182.579477775984
2015-01-02,315.687160984,877871.54441876,4919.17520515844,-3387.6153636143076,2059.4284755138706
2015-01-03,283.00653515,872633.8580204599,4871.358126501213,-3791.0813676133534,1927.0332279742793
2015-01-04,263.807882516,868916.6364024598,4841.215256503798,-4088.6117227417985,1800.9818789366132
2015-01-05,276.8,867129.10066029,4951.637840048212,-4368.376924681677,1688.1879361683148
2015-01-06,276.8,863253.9205975501,4675.143825195665,-4389.112308369565,1538.9299549155223
2015-01-07,276.8,861693.7286920301,4398.266764859284,-4235.3168095229275,1384.1099100233916
2015-01-08,284.2775,865256.24137813,4497.4196558899985,-4107.8321851694,1255.5646322059267
2015-01-09,293.956460672,849836.28802271,4378.544421755998,-5042.926339444773,1053.1217733229594
2015-01-10,275.178914552,835573.78915862,4609.5460857482685,-6180.469133197122,821.4424688779048
2015-01-11,265.104599912,835669.7971264201,4554.82939360905,-6012.110373374648,596.2368732577586
2015-01-12,267.0091753,839996.14541224,4670.197984240446,-5741.903679633671,393.74924362186016
2015-01-13,226.231510026946,845998.7442458099,5020.192831397084,-5620.278224859426,228.42831295378338
2015-01-14,172.209336164418,854501.6010080699,5319.09656464928,-5312.319147730131,96.0450067610547
2015-01-15,210.222054019821,860889.3664600101,5643.784431280661,-5211.607812026789,-9.939500367301607
2015-01-16,207.400753385583,854966.09038083,5591.921775129952,-5583.442002438336,-118.73093385676721
2015-01-17,199.71335481,847015.6786662199,5287.063528372617,-5809.176521501117,-233.18734471507858
2015-01-18,211.933325656,852688.38629816,5336.648030190445,-5443.912981647709,-294.60652223074027
2015-01-19,216.21354573944,852654.17041549,5162.012063545083,-5264.407077083195,-343.5819457239293
2015-01-20,211.21436810323,856222.05600197,5174.806100626077,-5032.515740829649,-353.84917122604884
2015-01-21,227.367339270216,873271.47833651,6435.482927247676,-5166.050435801672,-274.8147043610742
2015-01-22,233.083287762032,879475.10890007,6470.49272101316,-4872.113691426227,-188.47245015633604
2015-01-23,233.646937152577,873365.9519205,6765.46772942295,-5680.924433779813,-63.54922063262806
2015-01-24,249.347538056996,875626.75026116,6485.105243372086,-5322.144944727824,131.72816123116587
2015-01-25,254.566243127401,869541.04208288,6131.223070705283,-5452.834003855969,284.2760217036594
2015-01-26,274.367339438392,890124.7905098798,7147.146178598264,-5141.733154405571,504.0702159597962
2015-01-27,263.856659995212,894939.78907214,7205.785764435715,-5013.067037705201,703.5562245450001
2015-01-28,235.526738142428,884564.8598862299,6862.0335840673315,-5507.158051512853,799.8489470903808
2015-01-29,235.378046064358,885401.6989039097,6785.628535813508,-5465.288770917331,863.2891717791168
2015-01-30,228.471456351846,880765.2817356997,6922.211225629273,-5998.988589606841,928.6279477313179
2015-01-31,218.183321408374,876842.6102099898,6533.937254683324,-5933.774229443052,1008.7905204719445
2015-02-01,227.622323227831,878774.08528127,6366.918941059103,-5679.3884460828485,1065.5616237886245
2015-02-02,237.970905498836,877069.9816071999,6038.719116823829,-5510.630899783995,1110.5961402584778
2015-02-03,227.679182534578,874340.4445027199,5740.977052826906,-5430.063857221727,1122.6406285305318
2015-02-04,227.080198796557,876072.7278406098,5651.539388044445,-5245.868182953611,1060.943393790877
2015-02-05,216.855774666267,876704.6764678102,5615.562546408815,-5194.806179844036,976.8274892892947
2015-02-06,222.783977872915,875027.8415609802,5602.708419126892,-5321.791470788431,919.4256073389607
2015-02-07,229.001857020849,880225.35846328,5694.3453906550985,-5085.6551120525355,879.8348916216964
2015-02-08,223.963671914962,883866.4300744599,5633.401911449424,-4820.632877341697,889.4334607115832
2015-02-09,221.004238955349,878359.3822499199,5277.294295138792,-4885.846384940916,774.1502382833821
2015-02-10,220.600396870975,876909.9920598302,5058.091500820871,-4789.366130642188,636.7221413868228
2015-02-11,219.728516131238,887302.7846841702,5427.521659957483,-4483.858472834709,607.349830998844
