date,btc_close,btc_high,btc_low,btc_open,btc_volume,ema_5,ema_8,ema_13,ema_21,rsi_14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,atr_14,log_return,realized_vol_14,days_since_last_halving,days_until_next_halving,halving_cycle_phase,halving_phase_sin,halving_phase_cos,next_halving_is_projected,dxy,gold_price,m2_money_supply,usdt_dominance,google_trends_bitcoin,n_transactions,avg_block_size_mb,avg_tx_per_block,avg_confirmation_time_min,median_confirmation_time_min,avg_mining_difficulty,avg_hashrate,miners_revenue_usd,avg_transaction_fees_btc,avg_transaction_fees_usd,cost_per_transaction_usd,sent_coins_usd,output_volume_btc,active_addresses,coins_in_circulation,market_price_usd,avg_transaction_value_btc,avg_fee_to_reward_ratio,sopr,mvrv,cpi_headline,core_pce,ppi,nonfarm_payrolls,unemployment_rate,avg_hourly_earnings,retail_sales,gdp_nominal,fomc_rate_upper,fomc_rate_lower,fomc_rate_changed,sp500_close,sp500_volume,dowjones_close,dowjones_volume,oil_close,oil_volume,eth_close,eth_volume_usd,eth_price_is_backfilled,fear_greed_value,value_classification,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_volume_total,pct_positive,pct_negative,sentiment_balance_normalized
2025-08-31,108236.7109375,109491.0,108104.65625,108818.4609375,47986191770.0,109599.57233434838,110553.87946759802,111805.9303079249,113068.1563405336,37.81796536925079,-1931.6723106397692,-1193.012540988494,-738.6597696512754,114342.645703125,122528.46629905686,106156.82510719314,0.1431805350592502,2995.3667424978016,-0.0052649106927603,0.3977600284212191,498.0,960.0,0.3415637860082304,0.8390224573061748,-0.5440967893085827,True,120.2082,3473.699951171875,22092.5,4.528006117686954,625.5444445443728,472908.0,1.3953556818181816,3582.6363636363635,7.342367035022957,2.575,129699156960680.56,851054168.3491462,46665914.96970029,2.9831014600000003,328571.2197002999,95.02924226473326,4626001308.177331,503516.4100451941,446532.0,19914018.75,108790.79,1.0647238152985234,3329.709884975333,1.0031199941714202,2.054653984489101,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6460.259765625,4234840000.0,45544.87890625,494870000.0,64.01000213623047,0.0,4392.83,0.0,False,48.0,Neutral,580.502073049545,474.769484400749,105.732588648796,3101.0,0.5500973365113065,0.4499026634886933,0.0340962878583669
2025-09-01,109250.59375,109890.5859375,107271.1796875,108228.75,66870372995.0,109483.2461395656,110264.2604192429,111440.88222822134,112721.10519593964,40.56259607438632,-1975.0615619992896,-1349.4223451906532,-625.6392168086363,113796.530078125,121799.9318412993,105793.12831495068,0.1406616134548164,2968.5124216051017,0.0093236720989763,0.4041569243848338,499.0,959.0,0.3422496570644718,0.8366699130659124,-0.5477074552808995,True,120.2082,3473.699951171875,22176.1,4.529276257576402,675.5880001079227,598757.0,1.6122321863354034,3718.987577639752,37.72997828745872,6.883333333333334,129699156960680.44,1038028190.1834284,58509888.881842114,9.44095697,1061076.3818421,93.82463832600574,9872635249.510498,614437.9792047982,521197.0,19914431.25,108234.82,1.0261892206768326,10858.45355894697,1.006337636101032,2.066472278033613,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6460.259765625,4234840000.0,45544.87890625,494870000.0,64.01000213623047,0.0,4314.59,0.0,False,46.0,Fear,764.818613052368,563.932459890842,200.886153161526,3898.0,0.5755920944306593,0.4244079055693406,0.051535698604804
2025-09-02,111200.5859375,111748.015625,108454.03125,109243.0703125,74776999491.0,110055.69273887709,110472.33275663336,111406.55418668973,112582.87617244512,45.54129740374894,-1830.993233298068,-1445.7365228121362,-385.25671048593176,113189.35625,119877.42793262246,106501.28456737752,0.1181749221693708,2991.760418276166,0.0176913822811821,0.3929288483457347,500.0,958.0,0.3429355281207133,0.8343018307164776,-0.5513079495736788,True,120.6837,3549.39990234375,22176.1,4.442213024081832,663.0771112170352,592659.0,1.5512578404907982,3635.9447852760736,7.998764493481191,3.533333333333333,129699156960680.44,1050922950.3099302,61013436.12510861,4.966634959999998,568811.1251085999,96.62724212955747,11472795453.89586,634897.7967018404,544795.0,19914953.125,109250.51,1.0712699827419143,5525.193367318118,1.0066474959968037,2.106133166120609,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6415.5400390625,4784000000.0,45295.80859375,533180000.0,65.58999633789062,320218.0,4326.68,0.0,False,49.0,Neutral,736.090700984001,531.368316948414,204.722384035587,3781.0,0.580760948140772,0.419239051859228,0.0541450367721732
2025-09-03,111723.2109375,112600.2265625,110582.9609375,111190.6953125,61119643565.0,110611.53213841809,110750.30568571483,111451.79086537693,112504.7247874501,46.82685223472848,-1655.562283651263,-1487.7016749799616,-167.8606086713014,112857.537890625,119109.868114247,106605.207667003,0.1108004009387726,2922.1536473278684,0.0046888305764054,0.3871369602864419,501.0,957.0,0.3436213991769547,0.8319182542364116,-0.5548982053207968,True,120.5052,3593.199951171875,22176.1,4.412601867827156,625.5444445443728,411173.0,1.553846927007299,3001.262773722628,19.695728144623573,7.116666666666666,129699156960680.52,883291068.6654017,49232179.806125626,6.27562614,708711.0561256002,118.77256845736542,10987680372.68799,649861.8140678566,541497.0,19915443.75,111202.95,1.5805070227564957,5918.950820944031,1.006375268798603,2.117352868701102,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6448.259765625,4465360000.0,45271.23046875,479210000.0,63.970001220703125,298737.0,4450.66,0.0,False,55.0,Greed,791.824488639832,499.517179310322,292.30730932951,3731.0,0.6131796938735478,0.3868203061264522,0.0783455666924443
2025-09-04,110723.6015625,112208.328125,109347.2265625,111718.1484375,60131132901.0,110648.88861311204,110744.37143611154,111347.7638221088,112342.80449427284,44.65553426226276,-1578.9904950829514,-1505.9594390005595,-73.03105608239184,112523.800390625,118460.17069563484,106587.43008561515,0.1055131498296681,2917.792784125878,-0.0089874616977683,0.3810200930417681,502.0,956.0,0.3443072702331962,0.8295192278920024,-0.558478155846275,True,120.7629,3565.800048828125,22176.1,4.4846119924876655,625.5444445443728,395181.0,1.5226124428571424,2822.7214285714285,23.351683835838287,6.808333333333334,129699156960680.52,902633208.8551546,50416444.85079042,4.856591310000002,545663.6007904,125.31522369373012,10787959326.746689,741396.2704583535,540435.0,19915871.875,111737.55,1.876092905423979,4277.094270770867,1.0100574155941744,2.0988399671512,322.169,126.43,262.358,158542.0,4.3,36.47,727176.0,31098.027,4.5,4.25,False,6502.080078125,4670770000.0,45621.2890625,457490000.0,63.47999954223633,251689.0,4299.99,0.0,False,51.0,Neutral,713.012208402157,577.029708385468,135.982500016689,3951.0,0.5527046827886428,0.4472953172113572,0.0344172361469726
2025-09-05,110650.984375,113357.4921875,110233.3984375,110723.015625,60241647677.0,110649.58720040804,110723.61875586452,111248.22390109324,112189.00266524804,44.4941263081236,-1506.7969834401883,-1506.1269478884856,-0.6700355517027674,112181.78203125,117685.5354473845,106678.0286151155,0.0981220536254512,2932.528567402601,-0.0006560571512495,0.311833000934825,503.0,955.0,0.3449931412894376,0.8271047962364638,-0.5620477346655155,True,120.1282,3613.199951171875,22176.1,4.481026942343407,638.0553334352602,416432.0,1.563669027972029,2912.111888111888,19.796318248837743,6.85,134709652731984.95,957592801.73997,54223984.82193413,5.84579367,798578.5719341001,121.57135418548276,12937939673.7636,827999.3999852549,587857.0,19916321.875,110732.71,1.9883183808767213,6132.962617183753,1.024785063526373,2.09099108963154,322.169,126.43,262.358,158472.0,4.3,36.62,727176.0,31098.027,4.5,4.25,False,6481.5,5066120000.0,45400.859375,558920000.0,61.869998931884766,294540.0,4308.16,0.0,False,48.0,Neutral,758.626217782497,643.989502549171,114.636715233326,4230.0,0.5408653323827779,0.4591346676172221,0.0271008783057508
2025-09-06,110224.6953125,111275.015625,110024.0859375,110650.5703125,21500719036.0,110507.95657110536,110612.74687956132,111102.00553129424,112010.42926954366,43.50011909048473,-1467.0696048489335,-1498.3154792805751,31.2458744316416,111820.363671875,116790.06151181142,106850.6658319386,0.0888871700421126,2812.4143616952724,-0.0038599957441809,0.3078923028149952,504.0,954.0,0.345679012345679,0.8246750041091069,-0.5656068754865384,True,120.1282,3613.199951171875,22176.1,4.510726363149669,562.9900000899355,441035.0,1.514811757142857,3150.25,7.27027306334556,3.075,136039872848260.48,946761026.3534616,51557818.35938023,3.459256969999997,404443.3593802001,111.29131964232494,3437337619.624412,467470.5709756828,481276.0,19916756.25,110657.04,1.0599398482562217,3459.682404730648,1.0053546924044283,2.081547548704114,322.169,126.43,262.358,158472.0,4.3,36.62,727176.0,31098.027,4.5,4.25,False,6481.5,5066120000.0,45400.859375,558920000.0,61.869998931884766,294540.0,4273.16,0.0,False,48.0,Neutral,535.485942780972,479.257409632206,56.228533148766,3025.0,0.5277057903434637,0.4722942096565363,0.0185879448425672
2025-09-07,111167.6171875,111591.078125,110211.625,110221.328125,24618007520.0,110727.84344323692,110736.05139243658,111111.37862503792,111933.80998935788,46.3549020875362,-1344.006584814793,-1467.4537003874188,123.44711557262552,111566.12890625,116080.57846022256,107051.67935227744,0.0809286760817181,2710.05998764561,0.0085181600553794,0.3038236956053269,505.0,953.0,0.3463648834019204,0.8222298966345076,-0.5691555122112117,True,120.1282,3613.199951171875,22176.1,4.458448912617052,550.479111199048,586276.0,1.5456429415584405,3806.987012987013,5.10961774108807,1.475,136039872848260.44,1041437128.988808,53775093.15064921,3.233411279999997,358999.4006492001,91.72316989037452,2596166281.3931866,472277.0471062763,458587.0,19917206.25,110231.14,0.8055541197427087,3913.944547253089,1.0069734166264488,2.1007955085878978,322.169,126.43,262.358,158472.0,4.3,36.62,727176.0,31098.027,4.5,4.25,False,6481.5,5066120000.0,45400.859375,558920000.0,61.869998931884766,294540.0,4307.69,0.0,False,44.0,Fear,555.019516408443,440.351070284843,114.6684461236,2913.0,0.5576008813483927,0.4423991186516073,0.0393643824660487
2025-09-08,112071.4296875,112869.234375,110630.609375,111163.015625,40212813407.0,111175.70552465795,111032.8021246729,111248.52877681822,111946.32087100716,49.01417165900659,-1160.1743715707853,-1405.9978346240923,245.82346305330705,111528.14140625,116010.44167520826,107045.84113729172,0.0803797178441472,2676.386059956638,0.0080973060130383,0.2634209947228279,506.0,952.0,0.3470507544581618,0.8197695192216701,-0.572693578936478,True,120.0971,3638.10009765625,22176.1,4.413470391947024,600.5226667625979,567934.0,1.5250316499999996,3549.5875,6.1438788654089445,2.166666666666667,136039872848260.42,1082012601.5468135,59163170.85825197,3.990562090000001,462264.6082519997,99.5305874584924,7661404614.42701,715120.6199971415,511832.0,19917675.0,111175.46,1.2591614870691692,4437.486771153564,1.0082819026367686,2.114485395928852,322.169,126.43,262.358,158472.0,4.3,36.62,727176.0,31098.027,4.5,4.25,False,6495.14990234375,5211500000.0,45514.94921875,472240000.0,62.2599983215332,237288.0,4306.69,0.0,False,51.0,Neutral,751.983707010746,493.182408094406,258.80129891634,3693.0,0.6039223986971749,0.396077601302825,0.0700788786667587
2025-09-09,111530.546875,113225.4375,110776.703125,112077.578125,45984480722.0,111293.985974772,111143.41206919005,111288.81707655848,111908.5232350065,47.496751834987045,-1046.0722707776586,-1334.0127218548057,287.94045107714715,111390.931640625,115683.20092435632,107098.66235689368,0.0770667633444209,2660.125225316878,-0.0048379166926996,0.253433917611235,507.0,951.0,0.3477366255144033,0.8172939175631806,-0.5762210099555803,True,120.1569,3643.300048828125,22176.1,4.422305644960965,600.5226667625979,619514.0,1.458394335329342,3709.6646706586826,7.257848268451135,2.6666666666666665,136039872848260.4,1129350652.8644862,59621353.915624365,4.616437449999996,518603.9156243999,95.08654228340372,10652209784.065067,780937.4586881245,549610.0,19918175.0,112078.8,1.260564666316055,5388.713356607274,1.0058647471370563,2.1019000165432096,322.169,126.43,262.358,158472.0,4.3,36.62,727176.0,31098.027,4.5,4.25,False,6512.60986328125,4798350000.0,45711.33984375,449650000.0,62.630001068115234,268529.0,4310.63,0.0,False,48.0,Neutral,680.387286901474,563.805165886879,116.582121014595,3821.0,0.5468505176804936,0.4531494823195063,0.0305108927020662
