date,usdt_dominance
2015-03-08,0.006466206535788296
2015-03-09,0.006193833580948711
2015-03-10,0.00614060565092767
2015-03-11,0.006006928560630446
2015-03-12,0.006030830379784787
2015-03-13,0.006289375010962566
2015-03-14,0.0063146297125675375
2015-03-15,0.006198545369011588
2015-03-16,0.006145158712242181
2015-03-17,0.00628380623239311
2015-03-18,0.006925099961322108
2015-03-19,0.006781026629211467
2015-03-20,0.006774689734085706
2015-03-21,0.006817846338333652
2015-03-22,0.006611037582650825
2015-03-23,0.006652581410104105
2015-03-24,0.007217545052776014
2015-03-25,0.007156813514241793
2015-03-26,0.007096580733005266
2015-03-27,0.00712863612585603
2015-03-28,0.006993210235884095
2015-03-29,0.007294093670893926
2015-03-30,0.00712416546276716
2015-03-31,0.0072352710629767295
2015-04-01,0.0071629926117341685
2015-04-02,0.006973635305187082
2015-04-03,0.006951270289257205
2015-04-04,0.006967968098107716
2015-04-05,0.006775633409575394
2015-04-06,0.006909731242625742
2015-04-07,0.006957614839134531
2015-04-08,0.007209775951594192
2015-04-09,0.007257654796004346
2015-04-10,0.007487220390334459
2015-04-11,0.007484472708767797
2015-04-12,0.0074618666983185785
2015-04-13,0.007905325336596278
2015-04-14,0.008175935243226153
2015-04-15,0.007918701083099791
2015-04-16,0.007757023646317703
2015-04-17,0.007929358881589297
2015-04-18,0.0078985324255786
2015-04-19,0.007917859487823895
2015-04-20,0.007856154407203603
2015-04-21,0.007474666394507426
2015-04-22,0.0075461046669892074
2015-04-23,0.007460661205465392
2015-04-24,0.007653009441915195
2015-04-25,0.007791212267022429
2015-04-26,0.008010141767007782
2015-04-27,0.007743017767937766
2015-04-28,0.007817601832623172
2015-04-29,0.007808297597126275
2015-04-30,0.0074572809931682995
2015-05-01,0.007628730502007912
2015-05-02,0.0075356922635702595
2015-05-03,0.007363619130377951
2015-05-04,0.0073851625874862175
2015-05-05,0.007487497430197292
2015-05-06,0.007701490124490062
2015-05-07,0.00743080841835169
2015-05-08,0.0072372055446081555
2015-05-09,0.007274704914086206
2015-05-10,0.007348018017537853
2015-05-11,0.007281834147753694
2015-05-12,0.007283915617512134
2015-05-13,0.0074393854529030586
2015-05-14,0.007397978160969213
2015-05-15,0.007389341505922979
2015-05-16,0.0074427482725797365
2015-05-17,0.007420367948817714
2015-05-18,0.007518744126872068
2015-05-19,0.007565279614244022
2015-05-20,0.007465636214886478
2015-05-21,0.007445925563992893
2015-05-22,0.007317720872652873
2015-05-23,0.007350595430674858
2015-05-24,0.013091165332578262
2015-05-25,0.013288112781920458
2015-05-26,0.013274813596469688
2015-05-27,0.013293606701453114
2015-05-28,0.01320727471468535
2015-05-29,0.013235216563885085
2015-05-30,0.01346877578132631
2015-05-31,0.013625459379328023
2015-06-01,0.013963670337861514
2015-06-02,0.013851437277513375
2015-06-03,0.013915143427241141
2015-06-04,0.013991835875834024
2015-06-05,0.013898438952521146
2015-06-06,0.013857035418663333
2015-06-07,0.013972948634408126
2015-06-08,0.013636639885172549
2015-06-09,0.0136108166557338
2015-06-10,0.013661946447877098
2015-06-11,0.013594683086917045
2015-06-12,0.013575140619846954
2015-06-13,0.013438544027642621
2015-06-14,0.013390410391079898
2015-06-15,0.013171374795270896
2015-06-16,0.01242352024949024
2015-06-17,0.012533197823576755
2015-06-18,0.012497862504217661
2015-06-19,0.012738962757447382
2015-06-20,0.012681344484953123
2015-06-21,0.012720878826922516
2015-06-22,0.012597038802632196
2015-06-23,0.012724862376415336
2015-06-24,0.012917413234956387
2015-06-25,0.012820696740045009
2015-06-26,0.012770349990137852
2015-06-27,0.01235310034863803
2015-06-28,0.012463845748573855
2015-06-29,0.012099377299081088
2015-06-30,0.011805579629951237
2015-07-01,0.012028404441542538
2015-07-02,0.012172409087606481
2015-07-03,0.01210566935500879
2015-07-04,0.011902973570898444
