date,Close,High,Low,Open,Volume
2015-01-01,294.3370056152344,320.43499755859375,257.61199951171875,320.43499755859375,196656000
2015-01-08,178.10299682617188,294.135009765625,171.50999450683594,294.135009765625,261529108
2015-01-15,226.89700317382812,229.06700134277344,176.89700317382812,176.89700317382812,246383304
2015-01-22,233.9149932861328,309.3840026855469,225.1959991455078,227.32200622558594,312076700
2015-01-29,226.85299682617188,245.95700073242188,212.01499938964844,233.34800720214844,209285400
2015-02-05,219.18499755859375,239.40499877929688,214.72500610351562,227.6649932861328,151809400
2015-02-12,236.3260040283203,265.6109924316406,217.61399841308594,219.20799255371094,244953100
2015-02-19,237.47000122070312,255.32000732421875,232.42100524902344,236.41000366210938,116055000
2015-02-26,273.0920104980469,285.7959899902344,234.2570037841797,237.33700561523438,229106300
2015-03-05,296.3789978027344,300.04400634765625,264.7690124511719,272.739013671875,271028000
2015-03-12,256.29901123046875,297.0880126953125,249.8699951171875,296.12701416015625,198610400
2015-03-19,246.19700622558594,277.2969970703125,236.51499938964844,255.8800048828125,205509400
2015-03-26,247.27200317382812,256.8110046386719,239.21400451660156,246.2760009765625,149304000
2015-04-02,245.02200317382812,261.7980041503906,244.21499633789062,247.08900451660156,150149900
2015-04-09,223.83299255371094,246.1179962158203,216.322998046875,244.75100708007812,164741400
2015-04-16,234.17599487304688,237.90899658203125,220.87600708007812,223.91700744628906,140386300
2015-04-23,225.80799865722656,236.47500610351562,214.87399291992188,234.05299377441406,160365300
2015-04-30,229.78199768066406,243.24000549316406,224.9929962158203,225.6929931640625,158403200
2015-05-07,236.3769989013672,247.8040008544922,228.572998046875,229.66200256347656,158674500
2015-05-14,234.01800537109375,238.7530059814453,231.81700134277344,236.21400451660156,109488700
2015-05-21,237.2830047607422,241.97799682617188,233.8350067138672,234.01600646972656,117910800
2015-05-28,225.87399291992188,237.82400512695312,221.29600524902344,237.2570037841797,121765900
2015-06-04,228.80299377441406,230.95399475097656,222.65199279785156,225.77200317382812,124870800
2015-06-11,249.28399658203125,256.8529968261719,228.76699829101562,228.85499572753906,159287400
2015-06-18,240.51499938964844,252.10800170898438,240.51499938964844,249.42799377441406,136300600
2015-06-25,258.6210021972656,267.86700439453125,240.36500549316406,240.36500549316406,172049300
2015-07-02,270.7850036621094,277.4219970703125,253.5050048828125,258.552001953125,215354800
2015-07-09,285.8290100097656,314.3940124511719,267.08599853515625,270.8269958496094,356473800
2015-07-16,277.22198486328125,291.1830139160156,272.0429992675781,286.0419921875,182625500
2015-07-23,289.5899963378906,297.77398681640625,275.2539978027344,277.34100341796875,173143400
2015-07-30,281.8819885253906,290.1260070800781,277.52899169921875,289.1029968261719,145492900
2015-08-06,266.3760070800781,281.906005859375,260.4679870605469,281.906005859375,216828200
2015-08-13,226.6840057373047,267.46600341796875,211.07899475097656,266.1830139160156,228449100
2015-08-20,225.83099365234375,237.36500549316406,199.56700134277344,226.8990020751953,249179200
2015-08-27,229.28399658203125,235.218994140625,220.92599487304688,226.0500030517578,149843400
2015-09-03,238.16799926757812,245.781005859375,226.66700744628906,229.32400512695312,156296600
2015-09-10,229.09100341796875,259.1820068359375,227.40199279785156,238.33599853515625,137201400
2015-09-17,230.2830047607422,234.35299682617188,225.11700439453125,229.0760040283203,128277100
2015-09-24,236.05999755859375,239.802001953125,230.2949981689453,230.35800170898438,142513200
2015-10-01,242.968994140625,246.93499755859375,235.61599731445312,236.00399780273438,143518600
2015-10-08,251.98899841308594,254.27499389648438,242.1219940185547,243.0749969482422,141657800
2015-10-15,266.2720031738281,273.5780029296875,252.04600524902344,252.10699462890625,208544800
2015-10-22,304.6180114746094,306.33099365234375,266.135009765625,266.4960021972656,268159300
2015-10-29,411.56298828125,495.56201171875,301.822998046875,304.3240051269531,800380100
2015-11-05,311.0840148925781,447.5610046386719,300.99700927734375,408.0769958496094,654046996
2015-11-12,334.5899963378906,345.08099365234375,313.3559875488281,314.0790100097656,356071400
2015-11-19,328.20599365234375,335.3340148925781,312.2170104980469,334.6789855957031,248312300
2015-11-26,359.18701171875,382.3630065917969,328.22900390625,328.3030090332031,424824300
2015-12-03,417.56298828125,423.1199951171875,355.7569885253906,359.33099365234375,442717600
2015-12-10,454.9339904785156,469.1029968261719,410.7409973144531,417.9880065917969,671663604
2015-12-17,442.4010009765625,465.58099365234375,427.31201171875,454.7770080566406,407142096
2015-12-24,426.6199951171875,458.45599365234375,405.760009765625,443.09100341796875,414117400
2015-12-31,429.1050109863281,436.2460021972656,418.7349853515625,425.875,259048500
2016-01-07,432.3710021972656,462.9339904785156,424.4429931640625,430.010986328125,542774100
2016-01-14,420.2300109863281,433.3240051269531,354.91400146484375,432.2879943847656,585911808
2016-01-21,394.97198486328125,422.87701416015625,375.2820129394531,419.6319885253906,435590600
2016-01-28,369.9490051269531,395.50201416015625,365.4519958496094,395.14599609375,351520696
2016-02-04,381.64898681640625,391.6080017089844,369.9930114746094,370.17401123046875,387556600
2016-02-11,416.3219909667969,421.1669921875,376.39898681640625,382.114013671875,508157100
2016-02-18,424.9549865722656,448.0459899902344,413.9070129394531,416.5719909667969,554650492
2016-02-25,423.989013671875,441.5069885253906,420.4150085449219,425.0369873046875,437756796
2016-03-03,414.8599853515625,425.37298583984375,394.0350036621094,423.9119873046875,644023984
2016-03-10,417.010986328125,423.9259948730469,410.093994140625,414.7439880371094,549255188
2016-03-17,418.0409851074219,420.99700927734375,406.1369934082031,417.8890075683594,482752400
2016-03-24,414.8160095214844,428.7969970703125,412.4960021972656,418.42401123046875,446754908
2016-03-31,423.4129943847656,424.5270080566406,415.2569885253906,415.2569885253906,365629100
2016-04-07,423.7340087890625,427.2770080566406,416.5150146484375,423.6199951171875,435121300
2016-04-14,441.3890075683594,443.0539855957031,423.01300048828125,423.93499755859375,372972696
2016-04-21,444.68701171875,467.9649963378906,440.9519958496094,441.4159851074219,505321504
2016-04-28,446.72198486328125,455.5870056152344,436.6499938964844,445.0379943847656,435206604
2016-05-05,452.7279968261719,462.4809875488281,445.88299560546875,446.71099853515625,366971500
2016-05-12,454.6189880371094,458.6919860839844,449.25,452.4469909667969,396539196
2016-05-19,449.5989990234375,454.63299560546875,437.3890075683594,454.52398681640625,442031804
2016-05-26,536.9199829101562,553.9600219726562,447.89599609375,449.6719970703125,872391296
2016-06-02,581.64501953125,590.2589721679688,533.0780029296875,536.5150146484375,606372288
2016-06-09,694.468994140625,716.0040283203125,570.9509887695312,582.2030029296875,1026947700
2016-06-16,596.1160278320312,777.989990234375,587.4829711914062,696.5230102539062,1774705968
2016-06-23,639.8900146484375,691.7310180664062,558.1389770507812,597.4429931640625,1116634984
2016-06-30,677.3309936523438,704.968017578125,636.6079711914062,640.5910034179688,872722400
2016-07-07,654.468017578125,682.4320068359375,611.833984375,678.0900268554688,1060661000
2016-07-14,665.6849975585938,682.364990234375,652.9229736328125,652.9229736328125,530227308
2016-07-21,654.3519897460938,666.5830078125,645.8790283203125,665.22802734375,833149496
2016-07-28,566.35498046875,658.2230224609375,531.333984375,654.4920043945312,957207992
2016-08-04,592.10302734375,599.9840087890625,565.7769775390625,566.3289794921875,610942792
2016-08-11,573.2160034179688,597.5419921875,563.239990234375,592.1240234375,418257000
2016-08-18,580.1820068359375,589.4739990234375,573.4299926757812,573.7069702148438,408650400
2016-08-25,575.4719848632812,580.6229858398438,568.6300048828125,580.1799926757812,587567996
2016-09-01,614.5440063476562,614.5449829101562,570.8109741210938,575.5460205078125,649799400
2016-09-08,610.6840209960938,628.8179931640625,600.5059814453125,614.635009765625,477501404
2016-09-15,597.1489868164062,611.0859985351562,595.8829956054688,610.5880126953125,420531196
2016-09-22,604.72802734375,608.2479858398438,595.7860107421875,597.2789916992188,344788400
2016-09-29,612.510986328125,615.2369995117188,604.1420288085938,605.0189819335938,372065204
2016-10-06,636.1920166015625,642.0800170898438,611.468994140625,612.469970703125,465914104
2016-10-13,630.52001953125,642.8980102539062,628.0130004882812,636.030029296875,392090796
2016-10-20,678.3040161132812,679.72802734375,628.2579956054688,630.6630249023438,487413500
2016-10-27,740.8289794921875,740.8289794921875,678.0399780273438,678.2139892578125,725133392
2016-11-03,723.2730102539062,745.7730102539062,678.156005859375,742.3460083007812,663507096
2016-11-10,744.197998046875,747.614990234375,687.3150024414062,722.843994140625,553193592
2016-11-17,744.593994140625,756.2369995117188,717.9439697265625,744.8759765625,727918304
2016-11-24,745.6909790039062,747.9290161132812,729.625,744.6199951171875,475761900
2016-12-01,768.1320190429688,781.2960205078125,746.0460205078125,746.0460205078125,657179196
2016-12-08,781.4810180664062,788.4600219726562,765.4119873046875,768.0759887695312,494169300
2016-12-15,834.281005859375,834.281005859375,777.802001953125,780.0700073242188,634794192
2016-12-22,975.9210205078125,975.9210205078125,834.1489868164062,834.1799926757812,1284692008
2016-12-29,1154.72998046875,1159.4200439453125,934.8330078125,975.125,1386003088
2017-01-05,777.7570190429688,1191.0999755859375,762.7650146484375,1156.72998046875,1868954016
2017-01-12,886.6179809570312,917.4990234375,755.7559814453125,775.177978515625,1018898096
2017-01-19,901.5419921875,937.5250244140625,884.3380126953125,888.3350219726562,725853000
2017-01-26,989.0230102539062,989.114013671875,902.2239990234375,902.39501953125,780302596
2017-02-02,1063.0699462890625,1078.969970703125,983.2210083007812,990.0009765625,1075995008
2017-02-09,1007.47998046875,1088.989990234375,946.6909790039062,1064.699951171875,1095775400
2017-02-16,1117.43994140625,1125.3900146484375,1007.6500244140625,1007.6500244140625,867694792
2017-02-23,1222.5,1222.5,1116.9599609375,1117.27001953125,1322242992
2017-03-02,1150.0,1280.31005859375,1148.0799560546875,1224.6800537109375,1778927016
2017-03-09,1249.6099853515625,1270.469970703125,1077.25,1150.3499755859375,2209962960
2017-03-16,1049.1400146484375,1257.97998046875,957.655029296875,1251.3299560546875,3377878976
2017-03-23,1039.969970703125,1064.6500244140625,903.7130126953125,1050.050048828125,2476374016
2017-03-30,1124.780029296875,1156.43994140625,1020.0399780273438,1042.2099609375,3035615040
2017-04-06,1200.3699951171875,1208.0699462890625,1125.81005859375,1125.81005859375,2000666064
2017-04-13,1210.2900390625,1217.5699462890625,1156.43994140625,1201.02001953125,1805377008
2017-04-20,1281.0799560546875,1294.8299560546875,1203.93994140625,1211.0799560546875,1903539024
2017-04-27,1490.0899658203125,1492.77001953125,1281.300048828125,1281.8800048828125,3587264928
2017-05-04,1787.1300048828125,1833.489990234375,1490.719970703125,1490.719970703125,6966107904
2017-05-11,1839.0899658203125,1873.9300537109375,1651.0799560546875,1780.3699951171875,5312608992
2017-05-18,2443.639892578125,2523.719970703125,1807.1199951171875,1818.699951171875,9207156928
2017-05-25,2286.409912109375,2763.7099609375,1855.8299560546875,2446.239990234375,11001225088
2017-06-01,2732.159912109375,2999.909912109375,2288.330078125,2288.330078125,10816909952
2017-06-08,2506.3701171875,2997.260009765625,2412.93994140625,2720.489990234375,12448700160
2017-06-15,2689.10009765625,2772.010009765625,2212.9599609375,2499.580078125,10862229888
2017-06-22,2574.7900390625,2765.169921875,2332.989990234375,2691.030029296875,8540048896
2017-06-29,2601.989990234375,2631.590087890625,2394.840087890625,2567.56005859375,6285107072
2017-07-06,2398.840087890625,2916.139892578125,2275.139892578125,2608.10009765625,6498924992
2017-07-13,2273.429931640625,2425.219970703125,1843.030029296875,2402.699951171875,7854061056
2017-07-20,2529.449951171875,2900.699951171875,2269.889892578125,2269.889892578125,9252648000
2017-07-27,2710.669921875,2921.35009765625,2529.340087890625,2538.7099609375,6959087872
2017-08-03,3342.469970703125,3484.85009765625,2685.139892578125,2709.56005859375,9561646976
2017-08-10,4376.6298828125,4455.97021484375,3319.469970703125,3341.840087890625,16908159744
2017-08-17,4151.52001953125,4484.7001953125,3674.580078125,4384.43994140625,19515609856
2017-08-24,4565.2998046875,4626.52001953125,4130.259765625,4137.60009765625,13198050048
2017-08-31,4597.1201171875,4975.0400390625,3998.110107421875,4555.58984375,17056739968
2017-09-07,3882.590087890625,4661.0,3789.919921875,4589.14013671875,13252100224
2017-09-14,3905.949951171875,4094.070068359375,2946.6201171875,3875.3701171875,14642949888
2017-09-21,4200.669921875,4210.0498046875,3553.530029296875,3901.469970703125,8407269056
2017-09-28,4229.35986328125,4470.22998046875,4039.2900390625,4197.1298828125,9331550080
2017-10-05,4826.47998046875,4922.169921875,4164.0498046875,4229.8798828125,9240667776
2017-10-12,5590.68994140625,5852.47998046875,4822.0,4829.580078125,16281070080
2017-10-19,5750.7998046875,6194.8798828125,5397.8798828125,5583.740234375,15481229952
2017-10-26,6767.31005859375,6767.31005859375,5689.18994140625,5747.9501953125,14831980160
2017-11-02,7459.68994140625,7776.419921875,6758.72021484375,6777.77001953125,22928280576
2017-11-09,7315.5400390625,7446.830078125,5519.009765625,7446.830078125,35961769984
2017-11-16,8253.5498046875,8348.66015625,7176.580078125,7323.240234375,27991579904
2017-11-23,9888.6103515625,11517.400390625,7940.93017578125,8232.3798828125,42672369920
2017-11-30,14291.5,14369.099609375,9202.0498046875,9906.7900390625,52524589568
2017-12-07,16408.19921875,18353.400390625,13226.599609375,14266.099609375,106165898240
2017-12-14,16624.599609375,20089.0,16077.7001953125,16384.599609375,108026298368
2017-12-21,15838.5,17567.69921875,11833.0,16642.400390625,99979499520
2017-12-28,15201.0,15888.400390625,12350.099609375,15864.099609375,95960599552
2018-01-04,14973.2998046875,17712.400390625,13691.2001953125,15270.7001953125,133379399680
2018-01-11,11188.599609375,15018.7998046875,9402.2900390625,14968.2001953125,102882699264
2018-01-18,11359.400390625,13103.0,10129.7001953125,11198.7998046875,77636679680
2018-01-25,10221.099609375,12040.2998046875,9777.419921875,11421.7001953125,58339379200
2018-02-01,7621.2998046875,10288.7998046875,6048.259765625,10237.2998046875,69478010368
2018-02-08,9494.6298828125,9518.5400390625,7637.85986328125,7637.85986328125,49897700352
2018-02-15,10690.400390625,11958.5,9395.580078125,9488.3203125,60747559936
2018-02-22,10397.900390625,11089.7998046875,9407.0595703125,10660.400390625,49594509824
2018-03-01,9965.5703125,11704.099609375,9692.1201171875,10385.0,49811209728
2018-03-08,8269.8095703125,10147.400390625,8068.58984375,9951.4404296875,46459740160
2018-03-15,8929.2802734375,9177.3701171875,7397.990234375,8290.759765625,42323179520
2018-03-22,7954.47998046875,9100.7099609375,7797.27978515625,8939.4404296875,37953570304
2018-03-29,6853.83984375,7994.330078125,6526.8701171875,7979.06982421875,36505249792
2018-04-05,6968.31982421875,7178.10986328125,6575.0,6848.64990234375,30843940096
2018-04-12,8163.419921875,8371.150390625,6806.509765625,6955.3798828125,46168719872
2018-04-19,8845.740234375,9745.3203125,8138.77978515625,8159.27001953125,58366860800
2018-04-26,9235.919921875,9531.490234375,8727.08984375,8867.3203125,57140429312
2018-05-03,9325.1796875,9964.5,9031.6201171875,9233.9697265625,55336129536
2018-05-10,8368.830078125,9396.0400390625,8175.490234375,9325.9599609375,48913059840
2018-05-17,7557.81982421875,8562.41015625,7507.8798828125,8370.0498046875,38313300480
2018-05-24,7406.52001953125,7738.60009765625,7090.68017578125,7561.1201171875,34650909952
2018-05-31,7653.97998046875,7754.89013671875,7361.1298828125,7406.14990234375,34486819840
2018-06-07,6349.89990234375,7741.27001953125,6285.6298828125,7650.81982421875,32815439616
2018-06-14,6776.5498046875,6822.5,6334.4599609375,6342.75,27377159936
2018-06-21,6157.1298828125,6810.93994140625,5826.41015625,6780.08984375,28684000000
2018-06-28,6597.5498046875,6771.919921875,5835.75,6153.16015625,30012079872
2018-07-05,6394.7099609375,6885.91015625,6320.72021484375,6599.7099609375,28075910144
