time,asset,CapMVRVCur,SplyCur
2015-04-26,btc,0.75294572,14096689.77089602
2015-04-27,btc,0.77665961,14100114.77089602
2015-04-28,btc,0.77087913,14103939.77089602
2015-04-29,btc,0.77154151,14107114.77089602
2015-04-30,btc,0.80792304,14110464.77089602
2015-05-01,btc,0.7959527,14114164.77089602
2015-05-02,btc,0.80559481,14117839.77089602
2015-05-03,btc,0.8223728,14121364.77089602
2015-05-04,btc,0.81741779,14124564.77089602
2015-05-05,btc,0.80768013,14128414.77089602
2015-05-06,btc,0.78562752,14132439.77089602
2015-05-07,btc,0.81202047,14135964.77089602
2015-05-08,btc,0.83681725,14139714.77089602
2015-05-09,btc,0.83113721,14142939.77089602
2015-05-10,btc,0.82457424,14146164.77069602
2015-05-11,btc,0.83050336,14150114.77069602
2015-05-12,btc,0.83069449,14153864.77069602
2015-05-13,btc,0.81161902,14157914.77069602
2015-05-14,btc,0.81336253,14161764.77069602
2015-05-15,btc,0.81536167,14165439.77069602
2015-05-16,btc,0.80981981,14168739.77069602
2015-05-17,btc,0.81389832,14173014.77069602
2015-05-18,btc,0.80026593,14176614.77069602
2015-05-19,btc,0.79745588,14179864.77069602
2015-05-20,btc,0.80520035,14183489.77059602
2015-05-21,btc,0.81004487,14187364.77049602
2015-05-22,btc,0.82662537,14190814.77049602
2015-05-23,btc,0.8221977,14193614.77049602
2015-05-24,btc,0.82826864,14197264.77039602
2015-05-25,btc,0.81597835,14200789.77039602
2015-05-26,btc,0.8155281,14204389.77039602
2015-05-27,btc,0.81731823,14207839.77039602
2015-05-28,btc,0.81693429,14211139.77039602
2015-05-29,btc,0.81601049,14214989.76889602
2015-05-30,btc,0.80519424,14218389.76889602
2015-05-31,btc,0.79414393,14222089.76889602
2015-06-01,btc,0.77376466,14225389.76889602
2015-06-02,btc,0.78141163,14229139.76889602
2015-06-03,btc,0.781559,14232689.76889602
2015-06-04,btc,0.77606861,14236214.76889602
2015-06-05,btc,0.78040202,14239664.76884602
2015-06-06,btc,0.78204257,14244114.76884602
2015-06-07,btc,0.77660755,14247839.76884602
2015-06-08,btc,0.79532581,14251764.76884602
2015-06-09,btc,0.79751177,14255539.76884601
2015-06-10,btc,0.79522298,14259764.768846
2015-06-11,btc,0.79912895,14263139.76835459
2015-06-12,btc,0.79991673,14266689.76834858
2015-06-13,btc,0.81144066,14270664.76834857
2015-06-14,btc,0.80992401,14274364.76834857
2015-06-15,btc,0.8248878,14277964.76834857
2015-06-16,btc,0.87513216,14280914.76834857
2015-06-17,btc,0.86325931,14284864.76802097
2015-06-18,btc,0.86709753,14288764.76802095
2015-06-19,btc,0.85251691,14292439.76801545
2015-06-20,btc,0.85520736,14295789.76801544
2015-06-21,btc,0.85070324,14298889.76785584
2015-06-22,btc,0.86017515,14302714.76763204
2015-06-23,btc,0.85051054,14306214.76733197
2015-06-24,btc,0.8379559,14310114.76733194
2015-06-25,btc,0.8448489,14313914.76733189
2015-06-26,btc,0.84717268,14317764.7673306
2015-06-27,btc,0.87686139,14320989.76733058
2015-06-28,btc,0.86825845,14324514.76733054
2015-06-29,btc,0.89447788,14328014.76733051
2015-06-30,btc,0.91895089,14331639.76733049
2015-07-01,btc,0.89877462,14335014.76733042
2015-07-02,btc,0.88759905,14338864.76691191
2015-07-03,btc,0.89360593,14342889.7668119
2015-07-04,btc,0.90895603,14346689.76681171
2015-07-05,btc,0.94652746,14350239.76680168
2015-07-06,btc,0.93879668,14354764.76680159
2015-07-07,btc,0.92913382,14358114.76680146
2015-07-08,btc,0.94328042,14362139.76680146
2015-07-09,btc,0.94097662,14365464.76680142
2015-07-10,btc,0.99548676,14369314.76675142
2015-07-11,btc,1.02415822,14373014.76669132
2015-07-12,btc,1.08367916,14376389.76669132
2015-07-13,btc,1.0183322,14380089.76669129
2015-07-14,btc,1.00130096,14383689.76669119
2015-07-15,btc,0.9949258,14387514.76669114
2015-07-16,btc,0.96964467,14390864.76669114
2015-07-17,btc,0.97483547,14394539.76669114
2015-07-18,btc,0.96571539,14398264.76669114
2015-07-19,btc,0.95860718,14402064.76669091
2015-07-20,btc,0.97272012,14405964.76669081
2015-07-21,btc,0.96438518,14409139.76669037
2015-07-22,btc,0.96830559,14412989.76669009
2015-07-23,btc,0.96492102,14416489.76669006
2015-07-24,btc,1.00796633,14420714.76667983
2015-07-25,btc,1.00828547,14424564.76667982
2015-07-26,btc,1.02127006,14428164.76667962
2015-07-27,btc,1.02492676,14431889.76667941
2015-07-28,btc,1.02815783,14435289.76667941
2015-07-29,btc,1.00910193,14439089.76665941
2015-07-30,btc,1.00375693,14442439.76648561
2015-07-31,btc,0.99098704,14446214.76648561
2015-08-01,btc,0.98089158,14450089.76648561
2015-08-02,btc,0.98353023,14453864.7663218
2015-08-03,btc,0.98277599,14457789.7663218
2015-08-04,btc,0.99397021,14461189.76631634
2015-08-05,btc,0.98382413,14464514.76614708
2015-08-06,btc,0.97232925,14468089.76614708
2015-08-07,btc,0.97419688,14471514.76614708
2015-08-08,btc,0.91166096,14475539.76614708
2015-08-09,btc,0.93317694,14479089.76598323
2015-08-10,btc,0.92856137,14483264.76598323
2015-08-11,btc,0.95127646,14487314.76581943
2015-08-12,btc,0.93998135,14490464.76581943
2015-08-13,btc,0.92822959,14494139.76581943
2015-08-14,btc,0.93435614,14497689.76581943
2015-08-15,btc,0.91933993,14501114.76581942
2015-08-16,btc,0.90950511,14504564.76532802
2015-08-17,btc,0.90668516,14508239.76532802
2015-08-18,btc,0.76798027,14511764.76532802
2015-08-19,btc,0.80186184,14515664.76532802
2015-08-20,btc,0.83203851,14519414.76450902
2015-08-21,btc,0.82326318,14523539.76352622
2015-08-22,btc,0.81611734,14527489.76352619
